id,name,taxa_kind_id_name,description,col_id,eol_id,Sinonimi,Autore,Etimologia,"Tipo di vegetazione","Diffusione geografica","Nome italiano",Fioritura,Altezza,"Inizio fioritura","Fine fioritura"
791359,"Onobrychis viciifolia",Specie,"Pianta perenne, un po' pubescente, con foglie composte imparipennate formate anche da 25 segmenti ellittici, appena pelosi. I fiori sono portati in lunghe infiorescenze racemose di 7- 10 cm, con corolle porporine di 1 cm circa.<br /><br />Si tratta di un buon foraggio e di una buona mellifera.",96ec20ab4ce5e36df951d9e6e47f9f16,689248,,Scop.,"Il nome del genere in greco indica 'foraggio per gli asini'","È specie diffusa negli ambienti aridi, nei prati e pascoli fino al piano alpino.","Questa pianta è presente nell'Europa occidentale, centrale e meridionale","Lupinella comune, fieno santo",,,Maggio,Agosto
649356,"Trifolium pratense",Specie,"Pianta rizomatosa, con fusti erbacei rampanti; stipole con resta e foglioline ovali maculate trasversalmente; le corolle sono rosso-violette.<br /><br />Tra gli usi officinali ricordiamo che ha proprietà espettoranti, diuretiche, antigottose ed è usata nelle malattie oculari; ai fiori si attribuiscono poteri astringenti e vulnerari.",fd8a7cb8a695e8a62b250001d537950e,703430,,Linneo,,"È comune nei prati, al bordo dei campi, lungo i fossi, negli incolti fino al piano alpino; talvolta coltivata come foraggio.",,"Trifoglino dei prati",,,Gennaio,Dicembre
591355,"Trifolium fragiferum",Specie,"Specie perenne, con fusti striscianti, presenta capolini ovali di 1-2 cm di ⌀ di fiori rosa carnicino; calice rigonfio nel frutto.",f74e146724a6cbb0ad95ca3024a4937c,703399,,Linneo,,"Prati e incolti fino a 1000 m circa.","Diffusa qua e là su tutto il continente, salvo le zone artiche.","Trifoglio fragolino",,,Aprile,Agosto
362354,"Trifolium medium",Specie,"Pianta perenne, con fusto zigzagante; foglio-line lanceolate di 4-5 cm, capolini di fiori rosso carminio.",690bafe6dc25ff65fe4bd9e42250edd0,,,Linneo,,"Si incontra nel luoghi erbosi, nei prati magri, al bordo e nelle radure dei boschi fino a 1500 m di altitudine.","Presente in gran parte d'Europa.","Trifoglio medio",,,Maggio,Agosto
364353,"Trifolium ochroleucum",Specie,"Pianta perenne, legnosa alla base, con foglio-line ellittiche setose argentate; i capolini, di 2 cm di ⌀, raccolgono fiori bianco-giallognoli.",39d498c462468e56baca16f8289da55c,11227680,,,"Ochroleucum significa 'giallo-bianco'.",Giugno,"La specie gravita prevalentemente nell'Europa orientale.","Trifoglio bianco-giallo",,,Maggio,Giugno
375352,"Trifolium montanum",Specie,"Pianta perenne, con fusto poco ramoso, finemente pubescente; foglioline lanceolate di 3 cm, pelose inferiormente, capolini di 2 cm di ⌀ con corolle bianco-latteo<br /><br />Discreta foraggera, è pianta mellifera.",a9fb37f8958cfdbeac6ae8b30e06330f,703418,,Linneo,,"È presente soprattutto nei prati fino oltre i 1500 m.","Diffusa al centro e sud dell'Europa.","Trifoglio montano",,,Maggio,Agosto
431351,"Trifolium subterraneum",Specie,"Pianta annuale, con fusti striscianti, pelosi, porta capolini poveri e formati da piccoli fiori, rivolti verso il basso; colore della corolla bianco.",8f8c6a38da45b2bd62e90338ff2e2047,703458,,Linneo,,"Specie rara, si può incontrare negli ambienti aridi e acidificati.","La pianta è presente prevalentemente nell'Europa sud-occidentale","Trifoglio sotterraneo",,,Aprile,Giugno
415350,"Trifolium repens",Specie,"Pianta perenne, con fusti striscianti e stoloniferi; foglioline ovali-rotonde e capolini di 1,5 cm di fiori bianchi, portati su brevi peduncoli.<br /><br />Ottima specie foraggera, migliora i pascoli magri.",a256342417b6d0a7f4d20d0489183b4b,703436,,Linneo,,"Diffusa ovunque nei prati, al bordo dei boschi e dei sentieri, negli incolti fino a 1000 m","È presente praticamente in tutta Europa","Trifoglio bianco, Trifoglio ladino",,,Aprile,Ottobre
478349,"Trifolium rubens",Specie,,,,,,,,,,,,,
43348,"Trifolium incarnatum",Specie,"Pianta bienne, con fusto più o meno peloso, presenta foglioline di 2 cm obovali; le corolle sono rosso intenso in spighe.<br /><br />Si tratta di una buona foraggera annuale, consumata allo stato fresco; dalle infiorescenze si può estrarre un profumo.<br /><br />Con capolini a coppie e fusti glabri è <em>Trifolium rubens</em> L. trifoglio rosseggiante.",5f4d82499e26e02f9811410217b4a1a4,703405,,Linneo,,"Pianta coltivata, si rinviene inselvatichita o spontanea nei prati fino al piano alpino.","È specie propria dell'Europa mediterranea e occidentale.","Trifoglio rosso",,,Aprile,Giugno
